                       chr   start     end  length  tp1007 tp1012 tp1013 tp1014 tp1015     IT tp1335 pattern
Chr13:1009001        Chr13 1009001 1052195   43195      NA     NA     NA     NA     NA     NA     NA     000
Chr13:1052196        Chr13 1052196 1052195       0      NA     NA     NA     NA     NA     NA     NA     000
Chr14:1              Chr14       1  640400  640400      NA     NA     NA     NA     NA     NA     NA     000
Chr14:640401         Chr14  640401  640600     200 0.60884     NA     NA     NA     NA     NA     NA     100
Chr14:640601         Chr14  640601  773600  133000 0.60884 0.6074     NA     NA     NA     NA     NA     140
Chr14:773601         Chr14  773601  777000    3400 0.60884     NA     NA     NA     NA     NA     NA     100
Chr14:777001         Chr14  777001  900700  123700 0.60884 0.5956     NA     NA     NA     NA     NA     140
Chr14:900701         Chr14  900701  902400    1700 0.60884 0.5956     NA     NA     NA 0.5903     NA     142
Chr14:902401         Chr14  902401  918000   15600 0.60884 0.5956     NA     NA     NA     NA     NA     140
Chr14:918001         Chr14  918001  920900    2900      NA     NA     NA     NA     NA     NA     NA     000
Chr14:920901         Chr14  920901  954800   33900 0.58199 0.6003     NA     NA     NA     NA     NA     140
Chr14:954801         Chr14  954801  959900    5100      NA     NA     NA     NA     NA     NA     NA     000
Chr14:959901         Chr14  959901  988100   28200 0.67931     NA     NA     NA     NA     NA     NA     100
Chr14:988101         Chr14  988101  988700     600 0.67931     NA     NA     NA 0.7005     NA 0.6806     105
Chr14:988701         Chr14  988701  993400    4700 0.67931     NA     NA     NA 0.7005 0.5435 0.6806     107
Chr14:993401         Chr14  993401  994100     700 0.67931     NA     NA     NA 0.7005     NA 0.6806     105
Chr14:994101         Chr14  994101  998642    4542      NA     NA     NA     NA     NA     NA     NA     000
Chr14:998643         Chr14  998643  998642       0      NA     NA     NA     NA     NA     NA     NA     000
Chr15:1              Chr15       1   15100   15100      NA     NA     NA     NA     NA     NA     NA     000
Chr15:15101          Chr15   15101   17200    2100      NA     NA     NA     NA     NA 0.2670     NA     002
Chr15:17201          Chr15   17201   21200    4000      NA     NA     NA     NA     NA     NA     NA     000
Chr15:21201          Chr15   21201   21900     700      NA     NA     NA     NA     NA 0.2313     NA     002
Chr15:21901          Chr15   21901   63600   41700      NA     NA     NA     NA     NA     NA     NA     000
Chr15:63601          Chr15   63601   67500    3900      NA     NA     NA     NA     NA 0.5811     NA     002
Chr15:67501          Chr15   67501  244200  176700      NA     NA     NA     NA     NA     NA     NA     000
Chr15:244201         Chr15  244201  244600     400      NA     NA     NA 0.6283     NA     NA     NA     010
Chr15:244601         Chr15  244601  244900     300      NA     NA     NA 0.6283 0.6252 0.4104     NA     016
Chr15:244901         Chr15  244901  245400     500      NA     NA 0.4340 0.6283 0.6252 0.4104     NA     036
Chr15:245401         Chr15  245401  246600    1200 0.59806     NA 0.4340 0.6283 0.6252 0.4104     NA     136
Chr15:246601         Chr15  246601  246700     100      NA     NA 0.4340 0.6283     NA 0.4104     NA     032
Chr15:246701         Chr15  246701  246800     100      NA     NA     NA     NA     NA 0.4104     NA     002
Chr15:246801         Chr15  246801  250800    4000      NA     NA     NA     NA     NA     NA     NA     000
Chr15:250801         Chr15  250801  250900     100      NA     NA     NA 0.0151     NA     NA     NA     010
Chr15:250901         Chr15  250901  251000     100 0.00774     NA 0.0069 0.0151 0.0083 0.0110 0.0089     137
Chr15:251001         Chr15  251001  262700   11700 0.00774 0.0026 0.0069 0.0151 0.0083 0.0110 0.0089     177
Chr15:262701         Chr15  262701  434900  172200      NA     NA     NA     NA     NA     NA     NA     000
Chr15:434901         Chr15  434901  437100    2200      NA     NA     NA     NA     NA 0.5593     NA     002
Chr15:437101         Chr15  437101  440600    3500      NA     NA     NA     NA     NA     NA     NA     000
Chr15:440601         Chr15  440601  442300    1700      NA     NA     NA     NA     NA     NA 0.6543     001
Chr15:442301         Chr15  442301  451100    8800      NA     NA     NA     NA     NA     NA     NA     000
Chr15:451101         Chr15  451101  480900   29800      NA     NA 0.6261     NA     NA     NA     NA     020
Chr15:480901         Chr15  480901  569600   88700      NA     NA     NA     NA     NA     NA     NA     000
Chr15:569601         Chr15  569601  571600    2000      NA     NA     NA     NA     NA 0.5983     NA     002
Chr15:571601         Chr15  571601  619600   48000      NA     NA     NA     NA     NA     NA     NA     000
Chr15:619601         Chr15  619601  620600    1000      NA     NA     NA     NA     NA 0.6755     NA     002
Chr15:620601         Chr15  620601  622400    1800      NA     NA 0.5795     NA     NA 0.6755     NA     022
Chr15:622401         Chr15  622401  622600     200      NA     NA     NA     NA     NA 0.6755     NA     002
Chr15:622601         Chr15  622601  931267  308667      NA     NA     NA     NA     NA     NA     NA     000
Chr15:931268         Chr15  931268  931267       0      NA     NA     NA     NA     NA     NA     NA     000
Chr16a:1            Chr16a       1     100     100 0.65912 0.6379     NA     NA     NA     NA     NA     140
Chr16a:101          Chr16a     101    1200    1100 0.65912 0.6379     NA     NA 0.3173     NA     NA     144
Chr16a:1201         Chr16a    1201   26700   25500 0.65912 0.6379     NA     NA     NA     NA     NA     140
Chr16a:26701        Chr16a   26701   47900   21200      NA     NA     NA     NA     NA     NA     NA     000
Chr16a:47901        Chr16a   47901   65200   17300      NA 0.6714     NA     NA     NA     NA     NA     040
Chr16a:65201        Chr16a   65201  193000  127800 0.61938 0.6714     NA     NA     NA     NA     NA     140
Chr16a:193001       Chr16a  193001  193300     300      NA 0.6714     NA     NA     NA     NA     NA     040
Chr16a:193301       Chr16a  193301  248800   55500      NA     NA     NA     NA     NA     NA     NA     000
Chr16a:248801       Chr16a  248801  260000   11200      NA     NA     NA     NA 0.7280     NA 0.7351     005
Chr16a:260001       Chr16a  260001  263100    3100      NA     NA     NA     NA 0.7280     NA     NA     004
Chr16a:263101       Chr16a  263101  425400  162300      NA     NA     NA     NA     NA     NA     NA     000
Chr16a:425401       Chr16a  425401  425800     400      NA     NA 0.2287     NA     NA     NA     NA     020
Chr16a:425801       Chr16a  425801  432800    7000      NA     NA 0.2287     NA     NA 0.1891     NA     022
Chr16a:432801       Chr16a  432801  433200     400      NA     NA     NA     NA     NA 0.1891     NA     002
Chr16a:433201       Chr16a  433201  443600   10400      NA     NA     NA     NA     NA     NA     NA     000
Chr16a:443601       Chr16a  443601  446100    2500      NA     NA 0.4816     NA     NA     NA     NA     020
Chr16a:446101       Chr16a  446101  448500    2400      NA     NA 0.4816     NA     NA 0.6384     NA     022
Chr16a:448501       Chr16a  448501  450500    2000      NA     NA     NA     NA     NA 0.6384     NA     002
Chr16a:450501       Chr16a  450501  459775    9275      NA     NA     NA     NA     NA     NA     NA     000
Chr16a:459776       Chr16a  459776  459775       0      NA     NA     NA     NA     NA     NA     NA     000
Chr16b:1            Chr16b       1   96700   96700      NA     NA     NA     NA     NA     NA     NA     000
Chr16b:96701        Chr16b   96701   97400     700      NA     NA     NA     NA     NA 0.4108     NA     002
Chr16b:97401        Chr16b   97401  134700   37300      NA     NA     NA     NA     NA     NA     NA     000
Chr16b:134701       Chr16b  134701  138500    3800      NA     NA     NA     NA     NA 0.6060     NA     002
Chr16b:138501       Chr16b  138501  146600    8100      NA 0.6732     NA     NA 0.6657 0.6060     NA     046
Chr16b:146601       Chr16b  146601  147000     400      NA     NA     NA     NA     NA 0.6060     NA     002
Chr16b:147001       Chr16b  147001  169375   22375      NA     NA     NA     NA     NA     NA     NA     000
Chr16b:169376       Chr16b  169376  169375       0      NA     NA     NA     NA     NA     NA     NA     000
Chr17:1              Chr17       1   45100   45100      NA     NA     NA     NA     NA     NA     NA     000
Chr17:45101          Chr17   45101   47000    1900      NA     NA     NA     NA     NA 0.5350     NA     002
Chr17:47001          Chr17   47001  496400  449400      NA     NA     NA     NA     NA     NA     NA     000
Chr17:496401         Chr17  496401  499300    2900      NA     NA 0.3653     NA     NA 0.3685     NA     022
Chr17:499301         Chr17  499301  499500     200      NA     NA     NA     NA     NA 0.3685     NA     002
Chr17:499501         Chr17  499501  659923  160423      NA     NA     NA     NA     NA     NA     NA     000
Chr17:659924         Chr17  659924  659923       0      NA     NA     NA     NA     NA     NA     NA     000
Chr18:1              Chr18       1     500     500      NA     NA 0.1478     NA     NA     NA     NA     020
Chr18:501            Chr18     501  214200  213700      NA     NA     NA     NA     NA     NA     NA     000
Chr18:214201         Chr18  214201  215600    1400      NA     NA     NA     NA     NA 0.3757     NA     002
Chr18:215601         Chr18  215601  266200   50600      NA     NA     NA     NA     NA     NA     NA     000
Chr18:266201         Chr18  266201  267800    1600      NA     NA     NA     NA     NA 0.2921     NA     002
Chr18:267801         Chr18  267801  306000   38200      NA     NA     NA     NA     NA     NA     NA     000
Chr18:306001         Chr18  306001  308800    2800      NA     NA 0.1875     NA     NA     NA     NA     020
Chr18:308801         Chr18  308801  532900  224100      NA     NA     NA     NA     NA     NA     NA     000
Chr18:532901         Chr18  532901  533800     900      NA     NA     NA     NA     NA 0.4173     NA     002
Chr18:533801         Chr18  533801  827052  293252      NA     NA     NA     NA     NA     NA     NA     000
Chr18:827053         Chr18  827053  827052       0      NA     NA     NA     NA     NA     NA     NA     000
Chr19a_19:1      Chr19a_19       1    2200    2200 0.42895     NA 0.6135     NA 0.5703 0.5078     NA     126
Chr19a_19:2201   Chr19a_19    2201   13600   11400      NA     NA 0.6135     NA 0.5703 0.5078     NA     026
Chr19a_19:13601  Chr19a_19   13601   15700    2100      NA     NA 0.6135     NA     NA 0.5078     NA     022
Chr19a_19:15701  Chr19a_19   15701   17700    2000      NA     NA     NA     NA     NA 0.5078     NA     002
Chr19a_19:17701  Chr19a_19   17701   51400   33700      NA     NA     NA     NA     NA     NA     NA     000
Chr19a_19:51401  Chr19a_19   51401   52300     900 0.60958     NA     NA     NA     NA     NA     NA     100
Chr19a_19:52301  Chr19a_19   52301   57500    5200 0.60958 0.6249     NA     NA     NA     NA     NA     140
Chr19a_19:57501  Chr19a_19   57501   62200    4700 0.60958 0.6249     NA 0.7049     NA     NA     NA     150
Chr19a_19:62201  Chr19a_19   62201   64100    1900 0.60958 0.6249     NA 0.7049     NA     NA 0.5877     151
Chr19a_19:64101  Chr19a_19   64101  168300  104200 0.60958 0.6249     NA 0.7049 0.6181     NA 0.5877     155
Chr19a_19:168301 Chr19a_19  168301  171800    3500      NA 0.6249     NA 0.7049 0.6181     NA 0.5877     055
Chr19a_19:171801 Chr19a_19  171801  276400  104600      NA     NA     NA 0.7049 0.6181     NA 0.5877     015
Chr19a_19:276401 Chr19a_19  276401  277600    1200 0.19019 0.1448     NA 0.7049 0.6181     NA 0.5877     155
Chr19a_19:277601 Chr19a_19  277601  277800     200      NA     NA     NA     NA     NA     NA 0.5877     001
Chr19a_19:277801 Chr19a_19  277801  281000    3200      NA     NA     NA     NA     NA     NA     NA     000
Chr19a_19:281001 Chr19a_19  281001  281100     100      NA 0.5506     NA     NA     NA     NA     NA     040
Chr19a_19:281101 Chr19a_19  281101  281200     100 0.55650 0.5506     NA     NA     NA     NA     NA     140
Chr19a_19:281201 Chr19a_19  281201  301400   20200 0.55650 0.5506     NA 0.7043     NA     NA 0.5508     151
Chr19a_19:301401 Chr19a_19  301401  303300    1900 0.55650 0.5506     NA 0.7043 0.6379     NA 0.5508     155
Chr19a_19:303301 Chr19a_19  303301  303500     200 0.55650     NA     NA 0.7043 0.6379     NA 0.5508     115
Chr19a_19:303501 Chr19a_19  303501  309300    5800      NA     NA     NA 0.7043     NA     NA 0.5508     011
Chr19a_19:309301 Chr19a_19  309301  355000   45700 0.60439 0.6038     NA 0.7043     NA     NA 0.5508     151
Chr19a_19:355001 Chr19a_19  355001  356000    1000 0.60439 0.6038     NA 0.7043     NA 0.1359 0.5508     153
Chr19a_19:356001 Chr19a_19  356001  419000   63000 0.60439 0.6038     NA 0.7043     NA     NA 0.5508     151
Chr19a_19:419001 Chr19a_19  419001  419200     200 0.60439 0.6038     NA 0.7043     NA     NA     NA     150
Chr19a_19:419201 Chr19a_19  419201  420700    1500      NA 0.6038     NA 0.7043     NA     NA     NA     050
Chr19a_19:420701 Chr19a_19  420701  421000     300 0.60174 0.6038     NA 0.7043     NA     NA     NA     150
Chr19a_19:421001 Chr19a_19  421001  447500   26500 0.60174 0.6038     NA 0.7043     NA     NA 0.5679     151
Chr19a_19:447501 Chr19a_19  447501  447600     100      NA 0.6038     NA 0.7043     NA     NA 0.5679     051
Chr19a_19:447601 Chr19a_19  447601  451500    3900      NA     NA     NA     NA     NA     NA     NA     000
Chr19a_19:451501 Chr19a_19  451501  451600     100 0.65883 0.6899     NA     NA     NA     NA 0.6114     141
Chr19a_19:451601 Chr19a_19  451601  474600   23000 0.65883 0.6899     NA 0.7173     NA     NA 0.6114     151
Chr19a_19:474601 Chr19a_19  474601  477200    2600      NA     NA     NA     NA     NA     NA     NA     000
Chr19a_19:477201 Chr19a_19  477201  477300     100 0.64783 0.6517     NA 0.7415     NA 0.4913     NA     152
Chr19a_19:477301 Chr19a_19  477301  478900    1600 0.64783 0.6517 0.3451 0.7415     NA 0.4913     NA     172
Chr19a_19:478901 Chr19a_19  478901  479300     400 0.64783 0.6517     NA 0.7415     NA     NA     NA     150
Chr19a_19:479301 Chr19a_19  479301  548600   69300 0.64783 0.6517     NA 0.7415     NA     NA 0.6104     151
Chr19a_19:548601 Chr19a_19  548601  549200     600      NA     NA     NA     NA     NA     NA 0.6104     001
Chr19a_19:549201 Chr19a_19  549201  553500    4300      NA     NA     NA     NA     NA     NA     NA     000
Chr19a_19:553501 Chr19a_19  553501  554700    1200      NA     NA     NA     NA     NA     NA 0.6134     001
Chr19a_19:554701 Chr19a_19  554701  585900   31200 0.67263 0.7075     NA     NA     NA     NA 0.6134     141
Chr19a_19:585901 Chr19a_19  585901  607238   21338      NA     NA     NA     NA     NA     NA     NA     000
Chr19a_19:607239 Chr19a_19  607239  607238       0      NA     NA     NA     NA     NA     NA     NA     000
Chr19b_31:1      Chr19b_31       1   96400   96400      NA     NA     NA     NA     NA     NA     NA     000
Chr19b_31:96401  Chr19b_31   96401   96600     200      NA 0.5981     NA     NA     NA     NA     NA     040
Chr19b_31:96601  Chr19b_31   96601  151676   55076 0.60542 0.5981     NA     NA     NA     NA     NA     140
